continent,location,date,population,new_vaccinations,RollingPeoplevaccinated
Asia,Afghanistan,31/08/2020,41128772,,
Asia,Afghanistan,01/09/2020,41128772,,
Asia,Afghanistan,02/09/2020,41128772,,
Asia,Afghanistan,03/09/2020,41128772,,
Asia,Afghanistan,04/09/2020,41128772,,
Asia,Afghanistan,05/09/2020,41128772,,
Asia,Afghanistan,06/09/2020,41128772,,
Asia,Afghanistan,07/09/2020,41128772,,
Asia,Afghanistan,08/09/2020,41128772,,
Asia,Afghanistan,09/09/2020,41128772,,
Asia,Afghanistan,10/09/2020,41128772,,
Asia,Afghanistan,11/09/2020,41128772,,
Asia,Afghanistan,12/09/2020,41128772,,
Asia,Afghanistan,13/09/2020,41128772,,
Asia,Afghanistan,14/09/2020,41128772,,
Asia,Afghanistan,15/09/2020,41128772,,
Asia,Afghanistan,16/09/2020,41128772,,
Asia,Afghanistan,17/09/2020,41128772,,
Asia,Afghanistan,18/09/2020,41128772,,
Asia,Afghanistan,19/09/2020,41128772,,
Asia,Afghanistan,20/09/2020,41128772,,
Asia,Afghanistan,21/09/2020,41128772,,
Asia,Afghanistan,22/09/2020,41128772,,
Asia,Afghanistan,23/09/2020,41128772,,
Asia,Afghanistan,24/09/2020,41128772,,
Asia,Afghanistan,25/09/2020,41128772,,
Asia,Afghanistan,26/09/2020,41128772,,
Asia,Afghanistan,27/09/2020,41128772,,
Asia,Afghanistan,28/09/2020,41128772,,
Asia,Afghanistan,29/09/2020,41128772,,
Asia,Afghanistan,30/09/2020,41128772,,
Asia,Afghanistan,01/10/2020,41128772,,
Asia,Afghanistan,02/10/2020,41128772,,
Asia,Afghanistan,03/10/2020,41128772,,
Asia,Afghanistan,04/10/2020,41128772,,
Asia,Afghanistan,05/10/2020,41128772,,
Asia,Afghanistan,06/10/2020,41128772,,
Asia,Afghanistan,07/10/2020,41128772,,
Asia,Afghanistan,08/10/2020,41128772,,
Asia,Afghanistan,09/10/2020,41128772,,
Asia,Afghanistan,10/10/2020,41128772,,
Asia,Afghanistan,11/10/2020,41128772,,
Asia,Afghanistan,12/10/2020,41128772,,
Asia,Afghanistan,13/10/2020,41128772,,
Asia,Afghanistan,14/10/2020,41128772,,
Asia,Afghanistan,15/10/2020,41128772,,
Asia,Afghanistan,16/10/2020,41128772,,
Asia,Afghanistan,17/10/2020,41128772,,
Asia,Afghanistan,18/10/2020,41128772,,
Asia,Afghanistan,19/10/2020,41128772,,
Asia,Afghanistan,20/10/2020,41128772,,
Asia,Afghanistan,21/10/2020,41128772,,
Asia,Afghanistan,22/10/2020,41128772,,
Asia,Afghanistan,23/10/2020,41128772,,
Asia,Afghanistan,24/10/2020,41128772,,
Asia,Afghanistan,25/10/2020,41128772,,
Asia,Afghanistan,26/10/2020,41128772,,
Asia,Afghanistan,27/10/2020,41128772,,
Asia,Afghanistan,28/10/2020,41128772,,
Asia,Afghanistan,29/10/2020,41128772,,
Asia,Afghanistan,30/10/2020,41128772,,
Asia,Afghanistan,31/10/2020,41128772,,
Asia,Afghanistan,01/11/2020,41128772,,
Asia,Afghanistan,02/11/2020,41128772,,
Asia,Afghanistan,03/11/2020,41128772,,
Asia,Afghanistan,04/11/2020,41128772,,
Asia,Afghanistan,05/11/2020,41128772,,
Asia,Afghanistan,06/11/2020,41128772,,
Asia,Afghanistan,07/11/2020,41128772,,
Asia,Afghanistan,08/11/2020,41128772,,
Asia,Afghanistan,09/11/2020,41128772,,
Asia,Afghanistan,10/11/2020,41128772,,
Asia,Afghanistan,11/11/2020,41128772,,
Asia,Afghanistan,12/11/2020,41128772,,
Asia,Afghanistan,13/11/2020,41128772,,
Asia,Afghanistan,14/11/2020,41128772,,
Asia,Afghanistan,15/11/2020,41128772,,
Asia,Afghanistan,16/11/2020,41128772,,
Asia,Afghanistan,17/11/2020,41128772,,
Asia,Afghanistan,18/11/2020,41128772,,
Asia,Afghanistan,19/11/2020,41128772,,
Asia,Afghanistan,20/11/2020,41128772,,
Asia,Afghanistan,21/11/2020,41128772,,
Asia,Afghanistan,22/11/2020,41128772,,
Asia,Afghanistan,23/11/2020,41128772,,
Asia,Afghanistan,24/11/2020,41128772,,
Asia,Afghanistan,25/11/2020,41128772,,
Asia,Afghanistan,26/11/2020,41128772,,
Asia,Afghanistan,27/11/2020,41128772,,
Asia,Afghanistan,28/11/2020,41128772,,
Asia,Afghanistan,29/11/2020,41128772,,
Asia,Afghanistan,30/11/2020,41128772,,
Asia,Afghanistan,01/12/2020,41128772,,
Asia,Afghanistan,02/12/2020,41128772,,
Asia,Afghanistan,03/12/2020,41128772,,
